sl,roll,sem,year,sub_code,total_credits,credit_obtained,timestamp,sub_type
112,0801CS02,8,2011,MA412,6,BB,05-07-2012 12:01,Open Elective - II
113,0801CS03,1,2008,CH101,8,AB,9/8/2009 13:40:56:92,CORE
114,0801CS03,1,2008,CH110,3,AA,9/8/2009 13:40:56:92,CORE
115,0801CS03,1,2008,EE101,8,BB,9/8/2009 13:40:56:92,CORE
116,0801CS03,1,2008,HS101,6,BB,9/8/2009 13:40:56:92,CORE
117,0801CS03,1,2008,MA101,8,AA,9/8/2009 13:40:56:92,CORE
118,0801CS03,1,2008,ME111,7,BB,9/8/2009 13:40:56:92,CORE
119,0801CS03,1,2008,PH101,6,AA,9/8/2009 13:40:56:92,CORE
120,0801CS03,1,2008,PH110,3,AA,9/8/2009 13:41:08:53,CORE
121,0801CS03,2,2008,CH102,6,AB,9/8/2009 13:41:08:53,CORE
122,0801CS03,2,2008,CS101,6,AB,9/8/2009 13:41:08:53,CORE
123,0801CS03,2,2008,CS110,3,AB,9/8/2009 13:41:08:53,CORE
124,0801CS03,2,2008,EE102,4,BB,9/8/2009 13:41:08:53,CORE
125,0801CS03,2,2008,MA102,8,AB,9/8/2009 13:41:08:53,CORE
126,0801CS03,2,2008,ME101,8,BB,9/8/2009 13:41:08:53,CORE
127,0801CS03,2,2008,ME110,3,BC,9/8/2009 13:40:56:92,CORE
128,0801CS03,2,2008,PH102,6,AB,9/8/2009 13:41:08:53,CORE
129,0801CS03,3,2009,CS201,9,AB,11/30/2009 15:56:07,CORE
130,0801CS03,3,2009,CS203,6,AA,12-02-2009 16:22,CORE
131,0801CS03,3,2009,CS221,6,AB,12-04-2009 10:46,CORE
132,0801CS03,3,2009,EE220,8,AB,12-04-2009 10:28,CORE
133,0801CS03,3,2009,HS221,6,BB,12-03-2009 15:22,HS Elective
134,0801CS03,3,2009,MA201,8,AA,12-03-2009 14:50,CORE
135,0801CS03,4,2009,CS204,6,BB,05-08-2010 09:27,CORE
136,0801CS03,4,2009,CS222,6,BB,05-07-2010 11:21,CORE
137,0801CS03,4,2009,CS223,3,AA,05-07-2010 14:22,CORE
138,0801CS03,4,2009,CS241,7,BC,05-08-2010 10:32,CORE
139,0801CS03,4,2009,CS242,5,AB,05-07-2010 19:35,CORE
140,0801CS03,4,2009,HS211,6,BB,05-07-2010 10:59,HS ELECTIVE
141,0801CS03,4,2009,MA214,6,AA,05-07-2010 11:04,Elective-Sc.
142,0801CS03,4,2009,MA225,8,AA,05-07-2010 12:51,CORE
143,0801CS03,5,2010,CS301,6,BB,12-01-2010 11:20,CORE
144,0801CS03,5,2010,CS331,8,AB,12-06-2010 21:44,CORE
145,0801CS03,5,2010,CS341,6,AA,12-06-2010 13:31,CORE
146,0801CS03,5,2010,CS342,5,AB,12-06-2010 14:06,CORE
147,0801CS03,5,2010,CS343,6,AB,12-03-2010 11:40,CORE
148,0801CS03,5,2010,CS344,6,BB,12-06-2010 20:36,CORE
149,0801CS03,5,2010,CS345,5,AB,12-07-2010 11:24,CORE
150,0801CS03,6,2010,CS302,6,AB,05-09-2011 10:16,CORE
151,0801CS03,6,2010,CS346,6,BB,05-06-2011 18:16,CORE
152,0801CS03,6,2010,CS347,3,AB,05-06-2011 18:26,CORE
153,0801CS03,6,2010,CS348,8,BB,05-05-2011 20:37,CORE
154,0801CS03,6,2010,CS362,8,AB,05-06-2011 18:40,CORE
155,0801CS03,6,2010,CS399,3,AA,05-06-2011 20:12,CORE
156,0801CS03,6,2010,HS331,6,BB,05-02-2011 19:43,HS Elective
157,0801CS03,7,2011,CS400,2,AB,12-07-2011 15:53,CORE
158,0801CS03,7,2011,CS421,6,BC,12-07-2011 19:29,CORE
159,0801CS03,7,2011,CS422,5,AB,12-07-2011 19:23,CORE
160,0801CS03,7,2011,CS443,6,BB,12-09-2011 11:12,DEPARTMENTAL ELECTIVE - II
161,0801CS03,7,2011,CS461,6,BC,12-07-2011 17:00,DEPARTMENTAL ELECTIVE - I
162,0801CS03,7,2011,CS498,10,AB,12-10-2011 15:46,CORE
163,0801CS03,7,2011,MA410,6,BC,12-08-2011 12:27,OPEN ELECTIVE - I
164,0801CS03,8,2011,CS449,6,BB,05-07-2012 17:41,Departmental Elective - IV
165,0801CS03,8,2011,CS453,6,BB,05-08-2012 09:44,Departmental Elective - III
166,0801CS03,8,2011,CS499,16,AA,06-05-2012 11:19,CORE
167,0801CS03,8,2011,HS441,6,CC,05-03-2012 11:04,HSS Elective
168,0801CS03,8,2011,MA412,6,BC,05-07-2012 12:01,Open Elective - II
169,0801CS04,1,2008,CH101,8,BB,9/8/2009 13:40:56:92,CORE
170,0801CS04,1,2008,CH110,3,BC,9/8/2009 13:40:56:92,CORE
171,0801CS04,1,2008,EE101,8,BB,9/8/2009 13:40:56:92,CORE
172,0801CS04,1,2008,HS101,6,CC,9/8/2009 13:40:56:92,CORE
173,0801CS04,1,2008,MA101,8,BB,9/8/2009 13:40:56:92,CORE
174,0801CS04,1,2008,ME111,7,BC,9/8/2009 13:40:56:92,CORE
175,0801CS04,1,2008,PH101,6,BB,9/8/2009 13:40:56:92,CORE
176,0801CS04,1,2008,PH110,3,AB,9/8/2009 13:41:08:53,CORE
177,0801CS04,2,2008,CH102,6,BB,9/8/2009 13:41:08:53,CORE
178,0801CS04,2,2008,CS101,6,CD,9/8/2009 13:41:08:53,CORE
179,0801CS04,2,2008,CS110,3,BC,9/8/2009 13:41:08:53,CORE
180,0801CS04,2,2008,EE102,4,BB,9/8/2009 13:41:08:53,CORE
181,0801CS04,2,2008,MA102,8,BC,9/8/2009 13:41:08:53,CORE
182,0801CS04,2,2008,ME101,8,BB,9/8/2009 13:41:08:53,CORE
183,0801CS04,2,2008,ME110,3,BB,9/8/2009 13:40:56:92,CORE
184,0801CS04,2,2008,PH102,6,BC,9/8/2009 13:41:08:53,CORE
185,0801CS04,3,2009,CS201,9,BC,11/30/2009 15:56:07,CORE
186,0801CS04,3,2009,CS203,6,BB,12-02-2009 16:22,CORE
187,0801CS04,3,2009,CS221,6,BB,12-04-2009 10:46,CORE
188,0801CS04,3,2009,EE220,8,AB,12-04-2009 10:28,CORE
189,0801CS04,3,2009,HS221,6,BB,12-03-2009 15:22,HS Elective
190,0801CS04,3,2009,MA201,8,AA,12-03-2009 14:50,CORE
191,0801CS04,4,2009,CS204,6,BB,05-08-2010 09:27,CORE
192,0801CS04,4,2009,CS222,6,CC,05-07-2010 11:21,CORE
193,0801CS04,4,2009,CS223,3,AB,05-07-2010 14:22,CORE
194,0801CS04,4,2009,CS241,7,BC,05-08-2010 10:32,CORE
195,0801CS04,4,2009,CS242,5,BB,05-07-2010 19:35,CORE
196,0801CS04,4,2009,HS211,6,BC,05-07-2010 10:59,HS ELECTIVE
197,0801CS04,4,2009,MA225,8,BC,05-07-2010 12:51,CORE
198,0801CS04,4,2009,MA251,6,BB,05-07-2010 11:27,Elective-Sc.
199,0801CS04,5,2010,CS301,6,BB,12-01-2010 11:20,CORE
200,0801CS04,5,2010,CS331,8,BB,12-06-2010 21:44,CORE
201,0801CS04,5,2010,CS341,6,BB,12-06-2010 13:31,CORE
202,0801CS04,5,2010,CS342,5,BB,12-06-2010 14:06,CORE
203,0801CS04,5,2010,CS343,6,BB,12-03-2010 11:40,CORE
204,0801CS04,5,2010,CS344,6,BC,12-06-2010 20:36,CORE
205,0801CS04,5,2010,CS345,5,BB,12-07-2010 11:24,CORE
206,0801CS04,6,2010,CS302,6,BC,05-09-2011 10:16,CORE
207,0801CS04,6,2010,CS346,6,BB,05-06-2011 18:16,CORE
208,0801CS04,6,2010,CS347,3,BB,05-06-2011 18:26,CORE
209,0801CS04,6,2010,CS348,8,BB,05-05-2011 20:37,CORE
210,0801CS04,6,2010,CS362,8,BB,05-06-2011 18:40,CORE
211,0801CS04,6,2010,CS399,3,BC,05-06-2011 20:12,CORE
212,0801CS04,6,2010,HS331,6,BC,05-02-2011 19:43,HS Elective
213,0801CS04,7,2011,CS400,2,AB,12-07-2011 15:53,CORE
214,0801CS04,7,2011,CS421,6,BC,12-07-2011 19:29,CORE
215,0801CS04,7,2011,CS422,5,BC,12-07-2011 19:23,CORE
216,0801CS04,7,2011,CS441,6,CC,12-08-2011 16:20,DEPARTMENTAL ELECTIVE - II
217,0801CS04,7,2011,CS461,6,BB,12-07-2011 17:00,DEPARTMENTAL ELECTIVE - I
218,0801CS04,7,2011,CS498,10,AA,12-10-2011 15:46,CORE
219,0801CS04,7,2011,MA410,6,BB,12-08-2011 12:27,OPEN ELECTIVE - I
220,0801CS04,8,2011,CS452,6,BC,05-07-2012 17:03,Departmental Elective - III
221,0801CS04,8,2011,CS453,6,BB,05-08-2012 09:44,Departmental Elective - IV
222,0801CS04,8,2011,CS499,16,AA,06-05-2012 11:19,CORE
223,0801CS04,8,2011,HS441,6,BC,05-03-2012 11:04,HSS Elective
224,0801CS04,8,2011,MA412,6,BC,05-07-2012 12:01,Open Elective - II
225,0801CS05,1,2008,CH101,8,BC,9/8/2009 13:40:56:92,CORE
226,0801CS05,1,2008,CH110,3,BB,9/8/2009 13:40:56:92,CORE
227,0801CS05,1,2008,EE101,8,CC,9/8/2009 13:40:56:92,CORE
228,0801CS05,1,2008,HS101,6,CC,9/8/2009 13:40:56:92,CORE
229,0801CS05,1,2008,MA101,8,BC,9/8/2009 13:40:56:92,CORE
230,0801CS05,1,2008,ME111,7,BC,9/8/2009 13:40:56:92,CORE
231,0801CS05,1,2008,PH101,6,BC,9/8/2009 13:40:56:92,CORE
232,0801CS05,1,2008,PH110,3,AB,9/8/2009 13:41:08:53,CORE
233,0801CS05,2,2008,CH102,6,BC,9/8/2009 13:41:08:53,CORE
234,0801CS05,2,2008,CS101,6,CC,9/8/2009 13:41:08:53,CORE
235,0801CS05,2,2008,CS110,3,BB,9/8/2009 13:41:08:53,CORE
236,0801CS05,2,2008,EE102,4,BB,9/8/2009 13:41:08:53,CORE
237,0801CS05,2,2008,MA102,8,BC,9/8/2009 13:41:08:53,CORE
238,0801CS05,2,2008,ME101,8,BC,9/8/2009 13:41:08:53,CORE
239,0801CS05,2,2008,ME110,3,BB,9/8/2009 13:40:56:92,CORE
240,0801CS05,2,2008,PH102,6,DD,9/8/2009 13:41:08:53,CORE
241,0801CS05,3,2009,CS201,9,BB,11/30/2009 15:56:07,CORE
242,0801CS05,3,2009,CS203,6,BB,12-02-2009 16:22,CORE
243,0801CS05,3,2009,CS221,6,BC,12-04-2009 10:46,CORE
244,0801CS05,3,2009,EE220,8,BC,12-04-2009 10:28,CORE
245,0801CS05,3,2009,HS201,6,BB,12-04-2009 18:35,HS Elective
246,0801CS05,3,2009,MA201,8,BB,12-03-2009 14:50,CORE
247,0801CS05,4,2009,CS204,6,BB,05-08-2010 09:27,CORE
248,0801CS05,4,2009,CS222,6,CC,05-07-2010 11:21,CORE
249,0801CS05,4,2009,CS223,3,BB,05-07-2010 14:22,CORE
250,0801CS05,4,2009,CS241,7,BC,05-08-2010 10:32,CORE
251,0801CS05,4,2009,CS242,5,AB,05-07-2010 19:35,CORE
252,0801CS05,4,2009,HS202,6,CC,05-07-2010 18:53,HS ELECTIVE
253,0801CS05,4,2009,MA225,8,BB,05-07-2010 12:51,CORE
254,0801CS05,4,2009,MA251,6,BB,05-07-2010 11:27,Elective-Sc.
255,0801CS05,5,2010,CS301,6,BB,12-01-2010 11:20,CORE
256,0801CS05,5,2010,CS331,8,BB,12-06-2010 21:44,CORE
257,0801CS05,5,2010,CS341,6,BB,12-06-2010 13:31,CORE
258,0801CS05,5,2010,CS342,5,BB,12-06-2010 14:06,CORE
259,0801CS05,5,2010,CS343,6,BC,12-03-2010 11:40,CORE
260,0801CS05,5,2010,CS344,6,BC,12-06-2010 20:36,CORE
261,0801CS05,5,2010,CS345,5,AB,12-07-2010 11:24,CORE
262,0801CS05,6,2010,CS302,6,BB,05-09-2011 10:16,CORE
263,0801CS05,6,2010,CS346,6,BC,05-06-2011 18:16,CORE
264,0801CS05,6,2010,CS347,3,BB,05-06-2011 18:26,CORE
265,0801CS05,6,2010,CS348,8,BB,05-05-2011 20:37,CORE
266,0801CS05,6,2010,CS362,8,BC,05-06-2011 18:40,CORE
267,0801CS05,6,2010,CS399,3,BC,05-06-2011 20:12,CORE
268,0801CS05,6,2010,HS331,6,BB,05-02-2011 19:43,HS Elective
269,0801CS05,7,2011,CS400,2,AA,12-07-2011 15:53,CORE
270,0801CS05,7,2011,CS421,6,BC,12-07-2011 19:29,CORE
271,0801CS05,7,2011,CS422,5,AA,12-07-2011 19:23,CORE
272,0801CS05,7,2011,CS441,6,AB,12-08-2011 16:20,DEPARTMENTAL ELECTIVE - II
273,0801CS05,7,2011,CS461,6,BB,12-07-2011 17:00,DEPARTMENTAL ELECTIVE - I
274,0801CS05,7,2011,CS498,10,AB,12-10-2011 15:46,CORE
275,0801CS05,7,2011,MA410,6,BC,12-08-2011 12:27,OPEN ELECTIVE - I
276,0801CS05,8,2011,CS449,6,BC,05-07-2012 17:41,Departmental Elective - III
277,0801CS05,8,2011,CS453,6,AB,05-08-2012 09:44,Departmental Elective - IV
278,0801CS05,8,2011,CS499,16,AA,06-05-2012 11:19,CORE
279,0801CS05,8,2011,HS441,6,BB,05-03-2012 11:04,HSS Elective
280,0801CS05,8,2011,MA412,6,BC,05-07-2012 12:01,Open Elective - II
281,0801CS06,1,2008,CH101,8,AB,9/8/2009 13:40:56:92,CORE
282,0801CS06,1,2008,CH110,3,BB,9/8/2009 13:40:56:92,CORE
283,0801CS06,1,2008,EE101,8,BB,9/8/2009 13:40:56:92,CORE
284,0801CS06,1,2008,HS101,6,CC,9/8/2009 13:40:56:92,CORE
285,0801CS06,1,2008,MA101,8,AA,9/8/2009 13:40:56:92,CORE
286,0801CS06,1,2008,ME111,7,BB,9/8/2009 13:40:56:92,CORE
287,0801CS06,1,2008,PH101,6,AA,9/8/2009 13:40:56:92,CORE
288,0801CS06,1,2008,PH110,3,AA,9/8/2009 13:41:08:53,CORE
289,0801CS06,2,2008,CH102,6,AA,9/8/2009 13:41:08:53,CORE
290,0801CS06,2,2008,CS101,6,BC,9/8/2009 13:41:08:53,CORE
291,0801CS06,2,2008,CS110,3,BB,9/8/2009 13:41:08:53,CORE
292,0801CS06,2,2008,EE102,4,BC,9/8/2009 13:41:08:53,CORE
293,0801CS06,2,2008,MA102,8,AB,9/8/2009 13:41:08:53,CORE
294,0801CS06,2,2008,ME101,8,BB,9/8/2009 13:41:08:53,CORE
295,0801CS06,2,2008,ME110,3,BB,9/8/2009 13:40:56:92,CORE
296,0801CS06,2,2008,PH102,6,AB,9/8/2009 13:41:08:53,CORE
297,0801CS06,3,2009,CS201,9,AA,11/30/2009 15:56:07,CORE
298,0801CS06,3,2009,CS203,6,AA,12-02-2009 16:22,CORE
299,0801CS06,3,2009,CS221,6,BB,12-04-2009 10:46,CORE
300,0801CS06,3,2009,EE220,8,BB,12-04-2009 10:28,CORE
301,0801CS06,3,2009,HS201,6,AB,12-04-2009 18:35,HS Elective
302,0801CS06,3,2009,MA201,8,AA,12-03-2009 14:50,CORE
303,0801CS06,4,2009,CS204,6,BB,05-08-2010 09:27,CORE
304,0801CS06,4,2009,CS222,6,BB,05-07-2010 11:21,CORE
305,0801CS06,4,2009,CS223,3,AB,05-07-2010 14:22,CORE
306,0801CS06,4,2009,CS241,7,BB,05-08-2010 10:32,CORE
307,0801CS06,4,2009,CS242,5,AB,05-07-2010 19:35,CORE
308,0801CS06,4,2009,HS202,6,AB,05-07-2010 18:53,HS ELECTIVE
309,0801CS06,4,2009,MA214,6,BB,05-07-2010 11:04,Elective-Sc.
310,0801CS06,4,2009,MA225,8,AA,05-07-2010 12:51,CORE
311,0801CS06,5,2010,CS301,6,AB,12-01-2010 11:20,CORE
312,0801CS06,5,2010,CS331,8,BB,12-06-2010 21:44,CORE
313,0801CS06,5,2010,CS341,6,AB,12-06-2010 13:31,CORE
314,0801CS06,5,2010,CS342,5,AB,12-06-2010 14:06,CORE
315,0801CS06,5,2010,CS343,6,AB,12-03-2010 11:40,CORE
316,0801CS06,5,2010,CS344,6,AB,12-06-2010 20:36,CORE
317,0801CS06,5,2010,CS345,5,AB,12-07-2010 11:24,CORE
318,0801CS06,6,2010,CS302,6,AB,05-09-2011 10:16,CORE
319,0801CS06,6,2010,CS346,6,AB,05-06-2011 18:16,CORE
320,0801CS06,6,2010,CS347,3,AA,05-06-2011 18:26,CORE
321,0801CS06,6,2010,CS348,8,AB,05-05-2011 20:37,CORE
322,0801CS06,6,2010,CS362,8,AB,05-06-2011 18:40,CORE
323,0801CS06,6,2010,CS399,3,BB,05-06-2011 20:12,CORE
324,0801CS06,6,2010,HS331,6,BC,05-02-2011 19:43,HS Elective
325,0801CS06,7,2011,CS400,2,AB,12-07-2011 15:53,CORE
326,0801CS06,7,2011,CS421,6,AB,12-07-2011 19:29,CORE
327,0801CS06,7,2011,CS422,5,AB,12-07-2011 19:23,CORE
328,0801CS06,7,2011,CS443,6,AB,12-09-2011 11:12,DEPARTMENTAL ELECTIVE - II
329,0801CS06,7,2011,CS461,6,AB,12-07-2011 17:00,DEPARTMENTAL ELECTIVE - I
330,0801CS06,7,2011,CS498,10,BB,12-10-2011 15:46,CORE
331,0801CS06,7,2011,MA410,6,AB,12-08-2011 12:27,OPEN ELECTIVE - I
332,0801CS06,8,2011,CS452,6,AB,05-07-2012 17:03,Departmental Elective - III
333,0801CS06,8,2011,CS453,6,AB,05-08-2012 09:44,Departmental Elective - IV
334,0801CS06,8,2011,CS499,16,AA,06-05-2012 11:19,CORE
335,0801CS06,8,2011,HS441,6,BB,05-03-2012 11:04,HSS Elective
336,0801CS06,8,2011,MA412,6,BC,05-07-2012 12:01,Open Elective - II
337,0801CS07,1,2008,CH101,8,AB,9/8/2009 13:40:56:92,CORE
338,0801CS07,1,2008,CH110,3,AA,9/8/2009 13:40:56:92,CORE
339,0801CS07,1,2008,EE101,8,BC,9/8/2009 13:40:56:92,CORE
340,0801CS07,1,2008,HS101,6,BC,9/8/2009 13:40:56:92,CORE
341,0801CS07,1,2008,MA101,8,BC,9/8/2009 13:40:56:92,CORE
342,0801CS07,1,2008,ME111,7,AB,9/8/2009 13:40:56:92,CORE
343,0801CS07,1,2008,PH101,6,BB,9/8/2009 13:40:56:92,CORE
344,0801CS07,1,2008,PH110,3,AA,9/8/2009 13:41:08:53,CORE
345,0801CS07,2,2008,CH102,6,BB,9/8/2009 13:41:08:53,CORE
346,0801CS07,2,2008,CS101,6,BC,9/8/2009 13:41:08:53,CORE
347,0801CS07,2,2008,CS110,3,BB,9/8/2009 13:41:08:53,CORE
348,0801CS07,2,2008,EE102,4,AB,9/8/2009 13:41:08:53,CORE
349,0801CS07,2,2008,MA102,8,BB,9/8/2009 13:41:08:53,CORE
350,0801CS07,2,2008,ME101,8,BC,9/8/2009 13:41:08:53,CORE
351,0801CS07,2,2008,ME110,3,AA,9/8/2009 13:40:56:92,CORE
